timestamp,Weather_Temperature_Celsius,Relative_Humidity,Global_Horizontal_Radiation,Diffuse_Horizontal_Radiation,Active_Power
2018-04-17 12:00:00,28.030000686646,18.74,841.47967529297,148.11,205.22232055664
2018-04-17 13:00:00,29.190000534058,18.59,840.93560791016,123.79,252.60636901855
2018-04-17 14:00:00,30.479999542236,18.93,804.10009765625,122.72,342.18399047852
2018-04-17 15:00:00,31.216667175293,19.53,676.62969970703,89.57,392.19885253906
2018-04-17 16:00:00,31.573333740234,20.48,531.56140136719,27.24,523.03259277344
2018-04-18 08:00:00,20.936666488647,30.92,51.004482269287,174.67,45.225490570068
2018-04-18 09:00:00,22.25333404541,21.7,107.96866607666,235.06,100.55974578857
2018-04-18 10:00:00,24.0,18.79,172.10568237305,254.47,167.28424072266
2018-04-18 11:00:00,24.756666183472,17.37,180.02870178223,258.92,181.49960327148
2018-04-18 12:00:00,26.89999961853,16.55,817.00708007812,229.65,271.80325317383
2018-04-18 13:00:00,29.130001068115,16.08,444.75637817383,329.49,399.2799987793
2018-04-18 14:00:00,30.440000534058,15.91,673.03619384766,191.91,455.3908996582
2018-04-18 15:00:00,32.366664886475,16.32,838.962890625,90.31,323.36370849609
2018-04-18 16:00:00,31.799999237061,17.09,199.35643005371,29.56,173.5817565918
2018-04-19 08:00:00,22.256666183472,20.92,65.398170471191,283.8,59.904224395752
2018-04-19 09:00:00,23.200000762939,15.03,161.15229797363,257.0,150.56616210938
2018-04-19 10:00:00,25.040000915527,12.95,228.11311340332,303.53,221.32136535645
2018-04-19 11:00:00,27.99666595459,12.18,425.19680786133,284.78,398.86187744141
2018-04-19 12:00:00,31.879999160767,12.05,765.12878417969,237.69,284.69079589844
2018-04-19 13:00:00,34.430000305176,12.2,883.75653076172,197.17,297.47158813477
2018-04-19 14:00:00,35.316665649414,12.5,610.64642333984,164.59,560.15399169922
2018-04-19 15:00:00,36.216667175293,12.96,627.24444580078,115.78,571.49920654297
2018-04-19 16:00:00,35.909999847412,13.69,545.80035400391,31.47,545.57275390625
2018-04-20 08:00:00,23.296667098999,23.97,145.87698364258,180.11,152.35432434082
2018-04-20 09:00:00,27.416666030884,17.81,342.23165893555,171.03,330.98022460938
2018-04-20 10:00:00,29.90333366394,15.12,539.44244384766,177.27,265.962890625
2018-04-20 11:00:00,31.956666946411,13.7,708.53985595703,296.38,214.36186218262
2018-04-20 12:00:00,33.00333404541,13.0,580.88232421875,186.75,202.49195861816
2018-04-20 13:00:00,33.526664733887,12.72,473.32992553711,238.18,381.8264465332
2018-04-20 14:00:00,34.366664886475,12.77,770.18109130859,178.68,428.37875366211
2018-04-20 15:00:00,33.466667175293,13.28,250.86653137207,109.22,236.7809753418
2018-04-20 16:00:00,35.163333892822,14.35,551.30267333984,22.91,522.55096435547
2018-04-21 08:00:00,20.89999961853,21.46,67.862518310547,253.97,59.240070343018
2018-04-21 09:00:00,23.693334579468,15.8,126.8166885376,192.09,112.28095245361
2018-04-21 10:00:00,26.453332901001,13.76,264.09799194336,168.74,252.54708862305
2018-04-21 11:00:00,29.226667404175,13.34,832.22985839844,181.12,337.21624755859
2018-04-21 12:00:00,32.283332824707,13.08,802.58721923828,120.14,263.53634643555
2018-04-21 13:00:00,33.020000457764,12.88,826.3095703125,146.94,388.39123535156
2018-04-21 14:00:00,34.633331298828,12.96,776.96362304688,155.36,456.11019897461
